SampleID,Buffer,Rep,Type
CB_BR1,CB,BR1,BR
GL_BR1,GL,BR1,BR
PB_BR1,PB,BR1,BR
SM_BR1,SM,BR1,BR
CB_BR2,CB,BR2,BR
GL_BR2,GL,BR2,BR
PB_BR2,PB,BR2,BR
SM_BR2,SM,BR2,BR
CB_BR3,CB,BR3,BR
GL_BR3,GL,BR3,BR
PB_BR3,PB,BR3,BR
SM_BR3,SM,BR3,BR
CB_TR1,CB,TR1,TR
CB_TR2,CB,TR2,TR
PB_TR1,PB,TR1,TR
PB_TR2,PB,TR2,TR
CB_TR3,CB,TR3,TR
CB_TR4,CB,TR4,TR
PB_TR3,PB,TR3,TR
PB_TR4,PB,TR4,TR
GL_TR1,GL,TR1,TR
GL_TR2,GL,TR2,TR
SM_TR1,SM,TR1,TR
SM_TR2,SM,TR2,TR
GL_TR3,GL,TR3,TR
GL_TR4,GL,TR4,TR
SM_TR3,SM,TR3,TR
SM_TR4,SM,TR4,TR
